,name,floor,height,year,area
86,シティタワー武蔵小杉,53,185.0,2016.0,神奈川県川崎市
87,エルザタワー55,55,185.0,1998.0,埼玉県川口市
88,シエリアタワー千里中央,52,184.97,2019.0,大阪府豊中市
89,住友不動産新宿オークタワー,38,184.25,2002.0,東京都新宿区
90,セルリアンタワー,41,184.0,2001.0,東京都渋谷区
91,渋谷ヒカリエ,34,182.48,2012.0,東京都渋谷区
92,大手町二丁目地区第一種市街地再開発事業 A棟,35,182.0,2018.0,東京都千代田区
93,アパホテル&リゾート,49,180.82,1993.0,千葉県千葉市
94,ブランズタワー豊洲,48,180.5,2021.0,東京都江東区
95,仙台トラストタワー,37,180.0,2010.0,宮城県仙台市
96,センチュリーパークタワー,54,180.0,1999.0,東京都中央区
97,NECスーパータワー,43,180.0,1990.0,東京都港区
98,豊洲ベイサイドクロスタワー,36,180.0,2020.0,東京都江東区
99,東京日本橋タワー,35,180.0,2015.0,東京都中央区
100,名古屋ルーセントタワー,40,180.0,2007.0,愛知県名古屋市
101,JAビル,37,180.0,2009.0,東京都千代田区
102,東京ガーデンテラス ホテル・オフィス棟(ザ・プリンスギャラリー東京紀尾井町),36,180.0,2016.0,東京都千代田区
103,(仮称)渋谷駅桜丘口地区第一種再開発事業 A街区,39,179.97,2023.0,東京都渋谷区
104,パークシティ豊洲 タワーA棟,52,179.96,2008.0,東京都江東区
105,虎ノ門トラストシティ ワールドゲート,36,179.95,2019.0,東京都港区
106,渋谷ストリーム,36,179.95,2018.0,東京都渋谷区
107,グランフロント大阪 南館タワーA,38,179.5,2013.0,大阪府大阪市
108,住友不動産三田ツインビル西館(ラ・トゥール三田),43,179.3,2006.0,東京都港区
109,赤坂Bizタワー,39,179.3,2008.0,東京都港区
110,丸の内ビルディング,37,179.02,2002.0,東京都千代田区
111,パークシティ武蔵小杉 ザ ガーデン タワーズイースト,53,178.9,2017.0,神奈川県川崎市
112,パークシティ武蔵小杉 ザ ガーデン タワーズウエスト,53,178.9,2019.0,神奈川県川崎市
113,勝どき ザ・タワー(KACHIDOKI THE TOWER),53,178.78,2016.0,東京都中央区
114,パークタワー晴海,48,178.49,2018.0,東京都中央区
115,Wコンフォートタワーズ EAST,54,178.48,2004.0,東京都江東区
116,横浜駅きた西口鶴屋地区第一種市街地再開発事業,43,178.43,2024.0,神奈川県横浜市
117,丸の内トラストタワー本館(シャングリ・ラ ホテル 東京),37,178.0,2008.0,東京都千代田区
118,京王プラザホテル本館,47,178.0,1971.0,東京都新宿区
119,グランドメゾン新梅田タワー THE CLUB RESIDENCE,51,178.0,2021.0,大阪府大阪市
120,シティタワー西梅田,50,177.4,2007.0,大阪府大阪市
121,DEUX TOURS CANAL&SPA (ドゥ・トゥール) WEST棟,52,177.3,2015.0,東京都中央区
122,DEUX TOURS CANAL&SPA (ドゥ・トゥール) EAST棟,52,177.3,2015.0,東京都中央区
123,大手町フィナンシャルシティ サウスタワー,35,177.0,2012.0,東京都千代田区
124,The Tower Osaka,50,177.0,2008.0,大阪府大阪市
125,OAPタワー,39,176.3,1996.0,大阪府大阪市
126,霞が関コモンゲート 西館,38,175.78,2007.0,東京都千代田区
127,グランフロント大阪 北館タワーB,38,175.211,2013.0,大阪府大阪市
128,プラウドタワー東雲キャナルコート,52,175.01,2012.0,東京都江東区
129,(仮称)日本橋二丁目地区第一種市街地再開発事業(C街区),31,175.0,2018.0,東京都中央区
130,晴海アイランド トリトンスクエア オフィスタワーY棟,39,174.9,2001.0,東京都中央区
131,ブリーゼタワー,34,174.9,2008.0,大阪府大阪市
132,大名古屋ビルヂング,34,174.7,2015.0,愛知県名古屋市
133,グランフロント大阪オーナーズタワー,48,174.2,2013.0,大阪府大阪市
134,梅田スカイビル,40,173.05,1993.0,大阪府大阪市
135,JRタワー(JRタワーホテル日航札幌),38,173.0,2003.0,北海道札幌市
